title,url,description,price,original_price,discount_percentage,discount_value,cost_per_unit,country,lead_time,supplier,returned_products,high_confidence_terms,flags,promotions,price_range,original_price_range,inventory_quantity,availability,launch_datetime,exclude_from_apps,active,category_paths,color_group,color,size,brand,gender,large_image,swatch_image,thumb_image,sku,condition,variant_options,product_class,collection_member_ids,item_id,capacity,width,height,depth,store_latitude,store_longitude,gtin,keywords,reviews
Product 6p6mB,https://example.com/krrIodWb,Description z0yDYKKFmVxc1P0mg52J,300.4,383.83,21.74,83.43,230.34,France,13 days,Supplier fIQUC,48,"['YgcVw', 'lLReM', 'encjd']","['U37OP', 'dujFC', 'QA9QO']","['Lh9rJ', 'krO4q', '2I7DR']","[494.64, 880.53, 647.28]","[22.78, 818.88, 889.62]",195,out of stock,2024-12-13T06:32:17.118406,"['c2WIW', 'gjdGX', '3Lnd6']",False,Home/Furniture,White,Red,L,BrandA,Unisex,https://picsum.photos/seed/F01gH/600/600,https://picsum.photos/seed/9ArK3/50/50,https://picsum.photos/seed/Er9Gj/150/150,92152c90-8ee4-4192-9fe0-0a29c9f836e6,refurbished,"['Lb0ka', 'jSYI3', 'PMqPB']",premium,"['ZVcHC', 'GkRrN', 'kK5NA']",fe72ab83-f197-4b47-928d-10dc3d8e3873,160.4,153.34,173.33,152.37,55.594482,-138.035098,7531367001217,"['aqUmd', '1sTxV', 'tvh7k']",0.4
Product xGxXT,https://example.com/TPlymcSt,Description WY4m9hc8X0yvo4wKCA1L,169.23,207.26,18.35,38.03,134.69,France,14 days,Supplier i7ZSf,10,"['dqtgd', 'pelco', 'voiTD']","['qy9vE', 'xvJJp', 'L0sfr']","['t5uo0', '7hLPE', 'RqRIC']","[20.73, 934.14, 881.89]","[360.09, 537.72, 25.35]",741,out of stock,2025-05-19T06:32:17.118521,"['4QKce', 'E3Qqv', 'yLJ4b']",False,Clothing/Men,Blue,Blue,XL,BrandC,Male,https://picsum.photos/seed/5diTg/600/600,https://picsum.photos/seed/j97SH/50/50,https://picsum.photos/seed/tUREO/150/150,41bb5ec4-44f8-4319-8fcf-9490f6e97a9e,new,"['7Oa2A', 'lRuFo', '1lNZL']",exclusive,"['Ud2o5', 'ITRqb', 'tNCma']",36a758a7-e50d-401e-9c04-d8496f76e17c,242.49,198.08,39.99,82.35,-58.510474,-169.601769,0207772335971,"['rfe8d', '2FPhR', 'AaB7g']",0.9
Product WBpwo,https://example.com/TtFmbm82,Description vZQSuXoUeg0qGNlKFrLM,267.15,297.53,10.21,30.379999999999995,87.46,Japan,14 days,Supplier noDVp,38,"['eDil9', 'dj0QK', 'mRYiK']","['fwK8d', 'KDw2E', 'xQRBk']","['orn4j', '2QTUr', 'ZboxR']","[34.94, 3.79, 417.61]","[196.81, 247.54, 684.79]",806,preorder,2024-12-27T06:32:17.118629,"['YceJD', 'ti4IN', '09GlZ']",False,Home/Furniture,Blue,White,M,BrandD,Male,https://picsum.photos/seed/LqyeE/600/600,https://picsum.photos/seed/fElwn/50/50,https://picsum.photos/seed/htsM7/150/150,2f03fa7f-fdb2-4d41-a1b2-b760d54122da,used,"['zBWnT', 'CGqGR', 'jeAM7']",premium,"['9Lwmy', 'wIq7k', 'mwyVN']",430babf0-b9d2-4d18-9bfe-552625617bf7,441.24,135.63,188.55,165.08,-28.241695,49.18491,2737562737661,"['1TAna', 'R06AQ', 'amcl4']",1.8
Product iACbE,https://example.com/zBjBGrtS,Description arJFbduoDtgC3cRhNo8V,87.54,148.88,41.2,61.33999999999999,55.37,Germany,9 days,Supplier 9uQv8,44,"['Pe92W', 'OsjEB', 'jbTgq']","['V5nJs', 'Bt7j2', 'zrt5b']","['czvYt', 'k1IKd', 'CIiGj']","[666.33, 482.17, 868.66]","[639.3, 4.85, 703.97]",870,out of stock,2024-12-24T06:32:17.118740,"['RgWqv', '5uGrI', 'MBPZy']",False,Clothing/Men,White,Red,M,BrandA,Male,https://picsum.photos/seed/Ujj03/600/600,https://picsum.photos/seed/lLYf9/50/50,https://picsum.photos/seed/046ib/150/150,6154b012-e0ff-4931-b182-0432febb753c,used,"['RNc3a', 'JZrMW', 'ySi04']",premium,"['bZsl0', 'JcOLk', 'oFplM']",b5742a76-26fd-414f-a653-2b46a75147ac,83.0,75.51,112.22,140.4,4.294373,-145.299717,9236069927171,"['r8XiH', 'bZgqM', 'NxYFJ']",0.5
Product 1pLFh,https://example.com/SKbbJpCA,Description ShXpJXJ4P2SsEv5sTQPj,56.13,78.77000000000001,28.74,22.640000000000008,41.37,Japan,5 days,Supplier 4kNpM,0,"['GGGmZ', 'JJsuG', 'ZYYZm']","['mxUUo', 'kEnCW', 'AwBDZ']","['Mg1aV', 'NZd2C', 'n68Pi']","[96.93, 999.99, 791.12]","[186.44, 467.42, 48.95]",517,preorder,2025-08-28T06:32:17.118856,"['AuotC', '9wUMH', '2TMUO']",True,Home/Furniture,Black,Yellow,L,BrandC,Unisex,https://picsum.photos/seed/Rh9sl/600/600,https://picsum.photos/seed/zj2k4/50/50,https://picsum.photos/seed/zfXWJ/150/150,e31ae2d7-a496-41e7-83f6-0c77063490b0,new,"['QEYs9', 'GaZFm', 'K5xRd']",standard,"['LTXYj', '8OjtP', 'wxpeD']",b2faca5d-ae13-42d6-94b8-de865af47eb9,459.35,102.71,17.63,21.91,-24.653573,-67.273728,9324954586255,"['8KiGM', 'KUqwk', 'g6LnW']",3.2
Product INPFI,https://example.com/pnWELuQX,Description ecX3gVen4TDVUj9KC89z,40.24,98.07,58.97,57.82999999999999,12.35,Japan,1 days,Supplier q4fRe,19,"['xVbsz', 'lIAVB', 'CPpWU']","['PybZu', 'eGVKF', 'pDTf1']","['QD1Tc', '4fiHI', 'sj1Y9']","[441.74, 296.98, 994.19]","[760.36, 109.87, 646.19]",542,preorder,2025-03-28T06:32:17.118992,"['4baw9', 'g0TU6', 'Soyxm']",True,Clothing/Men,Yellow,Red,S,BrandC,Female,https://picsum.photos/seed/FOAkm/600/600,https://picsum.photos/seed/cplae/50/50,https://picsum.photos/seed/dQ6cu/150/150,02763d6a-67d2-4efe-9d62-240639b62ca0,refurbished,"['tBMRm', 'g5kTs', 'plsd5']",standard,"['ykDmU', 'QktfV', 'zYFfb']",a6a53fcf-a555-4fce-9696-70f31ba9bc29,225.55,157.33,179.83,42.83,64.555435,-71.361382,4739549415764,"['OmjfZ', 'gJLxC', 'I9yGb']",3.0
Product 3H35v,https://example.com/maJLqz4K,Description oPlXsTRprG7lAJMHAzXF,403.23,426.58000000000004,5.47,23.350000000000023,266.54,USA,3 days,Supplier dkupB,8,"['dvOsO', 'Eyr56', '6Qygr']","['uEUIs', 'VSl0k', 'pb4hn']","['sSHrS', 'jQTiz', 'cgdC8']","[895.67, 962.81, 123.22]","[527.75, 513.48, 555.3]",773,out of stock,2025-04-14T06:32:17.119101,"['7q3sV', 'psxc5', '5ZfJX']",True,Clothing/Men,Green,Blue,M,BrandA,Male,https://picsum.photos/seed/jY3Fk/600/600,https://picsum.photos/seed/f23hX/50/50,https://picsum.photos/seed/M7NvG/150/150,c15e0799-a0f8-4a01-935f-5f5a054f4036,new,"['ayFoU', 'DIR0B', 'lGq95']",standard,"['kGSa9', 'pULAy', 'lHHnw']",d5943a88-eeca-4064-b40b-942292e6ccd8,402.28,96.12,121.36,89.33,83.200916,-71.509436,9784013028657,"['52eoD', 'HOfPX', '0F20e']",3.8
Product uBUJp,https://example.com/FPaAEcY8,Description emEVmH0Z9pYmgUEb5BDA,182.35,268.05,31.97,85.70000000000002,25.63,Germany,11 days,Supplier 6TZD8,6,"['xqYFu', 'wOJhF', 'LEB1M']","['pSlyc', 'ZLUix', 'KzZ6y']","['wW6xe', 'mQZnk', 'F8t1W']","[805.84, 410.49, 313.05]","[428.75, 377.8, 190.74]",207,in stock,2024-12-08T06:32:17.119206,"['fEjr0', 'FvIa9', 'eFUv0']",False,Home/Furniture,White,Black,M,BrandD,Male,https://picsum.photos/seed/HLprT/600/600,https://picsum.photos/seed/mRjqW/50/50,https://picsum.photos/seed/DfyIn/150/150,1b949f6d-f1a5-4771-8e1a-abe31b5c327e,used,"['HUh5l', 'el8CS', 'B7d6j']",exclusive,"['xyQOF', 'MUksZ', 'oPhVW']",bf0f298e-6528-4ec1-b48e-04e02f899453,10.44,174.58,180.68,26.4,-61.540966,48.318914,3821549105388,"['0Oi6W', 'TelDD', '4wz1I']",2.1
Product u0wLN,https://example.com/MyUQy6JR,Description YA9efGvIjOa0naEmYFoe,281.74,312.65000000000003,9.89,30.910000000000025,141.12,France,8 days,Supplier yXK6M,37,"['kxUQe', 'rrMSN', 'iWhLG']","['juvNZ', '1MGEu', '16e9o']","['ZKyUb', 'kJDah', 'WmIeL']","[201.18, 341.3, 812.58]","[463.38, 261.0, 946.86]",83,out of stock,2024-09-23T06:32:17.119301,"['6au9w', 'ZsG2N', 'oqcJM']",False,Home/Furniture,Green,Blue,S,BrandB,Unisex,https://picsum.photos/seed/kL65e/600/600,https://picsum.photos/seed/bq7vS/50/50,https://picsum.photos/seed/2JlZR/150/150,2c45435d-4486-4fa1-9362-49c27a4a262c,used,"['GqJRx', '2J4ja', 'WApHK']",exclusive,"['FNkKE', 'karlw', 'brXaa']",fe4ea49b-5158-4cbd-8b97-5bcbf5b6f083,286.71,97.71,144.95,1.48,89.610611,-137.741969,1553761570796,"['fUpFs', 'vq4Wp', 'BVEnL']",0.9
Product 4N8Gb,https://example.com/B9JCEhjX,Description zFqIaJUmNzsD7iOSERh8,64.41,96.39999999999999,33.18,31.989999999999995,19.25,Japan,11 days,Supplier STFgc,22,"['JJNqV', 'ShmLl', 'i91JL']","['Ulqxv', 'CKX4J', 'vdVrw']","['VZBlb', '7Of2Y', '8feFx']","[793.35, 362.57, 37.81]","[139.98, 955.44, 233.64]",146,in stock,2025-03-13T06:32:17.119401,"['oi2n0', 'hTvIn', '1TYrD']",False,Home/Furniture,Black,Yellow,M,BrandC,Female,https://picsum.photos/seed/aYquS/600/600,https://picsum.photos/seed/2lz4r/50/50,https://picsum.photos/seed/ZUF7f/150/150,c198a47b-3afb-460c-a58e-0246452a0517,new,"['i1nlY', 'ssN9C', 'x3eqV']",exclusive,"['dbJjT', '55USl', 'wx9h6']",4da85ee4-1416-4592-abf5-f941f5f0072e,340.04,33.55,159.49,191.06,5.827316,39.905794,7313270251942,"['aAhPF', 'HFSF4', 'FKoGX']",2.2
Product djd3u,https://example.com/a8G95Lso,Description WpkrQq1QRbYKsI9JfXex,446.14,464.15,3.88,18.00999999999999,77.41,Canada,2 days,Supplier bADzg,50,"['ZGIzB', '9Bgi2', 'yQ9Wz']","['g8re0', 'uS6m7', 'FRU3i']","['ZzSar', '1RrVY', 'ENLGt']","[896.29, 164.14, 110.97]","[856.73, 913.86, 435.87]",287,out of stock,2024-10-07T06:32:17.119503,"['mI9Qr', 'mird6', 'HhVGH']",True,Electronics/Phones,Blue,Yellow,S,BrandA,Male,https://picsum.photos/seed/VaCjI/600/600,https://picsum.photos/seed/wnmgq/50/50,https://picsum.photos/seed/CZuqe/150/150,900e45ec-0412-4eba-9bcd-087da85ebe98,new,"['tMzY4', 'sooQI', 'QRGxh']",exclusive,"['8K39Y', 'VWDRj', 'gjLZt']",0e7789bd-9e50-4b32-a5fc-0433f5980900,179.95,19.25,118.05,172.88,9.653571,163.413658,5034620032760,"['0TnfK', 'xnoio', 'WCOrT']",3.2
Product hJYd9,https://example.com/GNEw5L4L,Description Qy5i0kRhfTVG00ddnYN1,278.9,350.27,20.38,71.37,274.62,Germany,5 days,Supplier jqO4V,8,"['Ygzs0', 'AOLpj', 'GcK1G']","['Wl9Vi', 'lKNyd', 'c9a9G']","['OeOcA', 'DLtAO', '7anr3']","[117.63, 750.7, 389.7]","[877.75, 628.37, 593.79]",116,preorder,2024-11-23T06:32:17.119598,"['eGVce', 'mmYUT', 'l1xSf']",False,Clothing/Women,Red,Red,S,BrandC,Female,https://picsum.photos/seed/ihVYk/600/600,https://picsum.photos/seed/B7LxL/50/50,https://picsum.photos/seed/q03fT/150/150,a75af379-1f06-49a4-b714-c97a615497a1,used,"['Eq8rK', 'shPGy', 'o5Fmf']",premium,"['zhqDN', 'teKum', 'AaD3p']",93e950cd-eddf-4681-ae8b-ad93abfe0b59,392.07,101.43,42.11,178.84,66.252297,-130.675148,2707410377711,"['OiAgI', 'vlPg5', 'NGdO7']",1.3
Product 6iifT,https://example.com/NTH1AH9p,Description U0yBb8a1uTsXDEoabL3S,324.67,407.04,20.24,82.37,3.95,Germany,9 days,Supplier yZUjQ,27,"['NjUab', '2vWgC', 'CuUmj']","['PWADq', 'nEvdk', 'u9dTt']","['pCW9N', 'rSsAn', 'zeMl3']","[435.51, 761.65, 493.74]","[127.02, 926.12, 134.68]",179,in stock,2025-05-08T06:32:17.119688,"['AcYij', '4IycS', 'eIcB8']",True,Electronics/Phones,White,Blue,XL,BrandB,Male,https://picsum.photos/seed/92FDl/600/600,https://picsum.photos/seed/KiQJH/50/50,https://picsum.photos/seed/OLvrl/150/150,17e190de-703f-496f-9291-4229e6af9be2,refurbished,"['sq6e6', 'GxPVA', 'TiqQD']",premium,"['GrqHk', 'rkzsB', 'xw9OV']",2010f0eb-4ace-444b-b245-96f81329f5a5,338.9,32.0,167.26,108.8,45.628612,114.05489,6563222085804,"['LHIyi', 'N2p8L', 'smaAl']",3.8
Product cqOpR,https://example.com/23ZUGn3c,Description kuESyCkLW6BcZOKmZYrG,388.9,484.64,19.75,95.74000000000001,290.37,USA,1 days,Supplier mOQsS,30,"['6Brca', 'eCZAf', 'KoYhW']","['sd2B4', 'sVuTQ', 'q0HYp']","['603BV', '5nq1w', 'Ot8bW']","[441.69, 241.55, 881.52]","[310.72, 208.32, 740.83]",553,preorder,2024-12-03T06:32:17.119777,"['tAhcu', 'GsaSR', 'itW1k']",True,Sports/Outdoor,Red,Yellow,S,BrandD,Unisex,https://picsum.photos/seed/zDDLe/600/600,https://picsum.photos/seed/fIGID/50/50,https://picsum.photos/seed/nJXE9/150/150,9e1d796c-c4e2-43e3-a38c-f73e22eb1479,refurbished,"['CURhM', 'KxfAg', 'tk4J9']",standard,"['XB39J', 'PXN80', 'U5IDG']",a0acc68d-d3f3-42aa-b855-6b3603c3953c,75.97,57.14,91.69,105.65,-82.088916,-142.820403,1177773306753,"['MdAjv', 'LTbi3', 'D73UA']",1.5
Product PzTS3,https://example.com/NhCsO8qH,Description k8ueoFZ3CZp0vwtNZ6yw,258.11,299.29,13.76,41.18000000000001,124.71,Japan,13 days,Supplier Gt4bG,43,"['RN8oy', 'hGyjs', 'Bmu63']","['ZvKJE', 'q0lWu', 's8Kcp']","['vvjcW', 'sFFlm', 'qIUgb']","[898.88, 333.54, 673.91]","[434.58, 99.69, 703.06]",821,preorder,2025-03-04T06:32:17.119925,"['GvBpE', 'zgqf3', 'NxcKL']",True,Sports/Outdoor,Red,Green,XL,BrandC,Unisex,https://picsum.photos/seed/rYCSw/600/600,https://picsum.photos/seed/tarkt/50/50,https://picsum.photos/seed/zpTYo/150/150,dcaceae2-6f59-4d63-9808-69dc9e488310,refurbished,"['YdZHt', 'MT8MN', '0sI41']",exclusive,"['RzP3n', 'kDL0k', 'dhcYb']",8e940133-0d75-48c4-91ed-aa5986bfa5cb,113.3,1.61,80.24,76.12,81.228432,175.256247,8303743503662,"['mHqNF', 'vKQaV', 'N2qkp']",3.7
Product 0deBE,https://example.com/EjEMR9YX,Description 0nsLznTg66YJz9sLGK61,59.28,59.69,0.69,0.4099999999999966,32.65,Japan,6 days,Supplier ptO7g,49,"['XYRo6', 'xBQYR', '4n1s3']","['Ri55p', 'kn4Us', 'CYQNZ']","['qs1b6', 'qlWvf', 'okXpZ']","[80.83, 79.71, 433.72]","[611.36, 633.88, 494.74]",448,in stock,2025-05-18T06:32:17.120020,"['kTKb8', 'gEGtO', 'EoQEs']",True,Clothing/Men,Red,Red,S,BrandA,Unisex,https://picsum.photos/seed/Nzbia/600/600,https://picsum.photos/seed/d19MM/50/50,https://picsum.photos/seed/FQaHN/150/150,2065fd59-c13b-4974-bf7a-39cf8ae73bde,new,"['QcLK8', 'REPgj', '4Xesn']",exclusive,"['vWmHJ', '4ywsh', 'A8HZU']",833bcd48-eaa2-46ad-b819-6233fb7adfdb,321.91,109.8,52.96,121.05,-4.360863,-167.240941,0311019228725,"['YjSBa', 'K49Ls', 'arxgy']",4.1
Product zwhrF,https://example.com/AhgpgbWT,Description cEwo0UhQO6U3Z0odcENA,85.82,177.76999999999998,51.72,91.94999999999999,17.11,Canada,12 days,Supplier AhxoO,21,"['EIzue', 'pYrNR', 'EOvQ3']","['hp97X', 'eBpBV', 'ncX4V']","['caeBn', 'fZDKN', 'f4rfA']","[40.77, 728.36, 652.53]","[641.01, 375.78, 126.64]",115,in stock,2025-05-25T06:32:17.120293,"['umxRz', 'IPXIm', 'xWOyK']",True,Home/Furniture,Yellow,Black,S,BrandC,Unisex,https://picsum.photos/seed/kFOj2/600/600,https://picsum.photos/seed/cLiYn/50/50,https://picsum.photos/seed/UpRP6/150/150,bd585d6b-c7b5-4bf0-ba44-1727048d823b,new,"['pECNE', 'As3If', 'sipp8']",exclusive,"['SWbHW', 'Xgn1L', 'afiFL']",048f801d-8861-49d2-be93-7197f22ec27b,20.55,119.77,23.97,172.31,5.498126,10.831049,8250306831260,"['qEbSr', 'oSJVN', '4BMsd']",1.6
Product E4kqY,https://example.com/OrVXcHMS,Description PG3Bb4Q2xAOXTRZ3Hehy,248.11,281.99,12.01,33.879999999999995,4.67,Germany,6 days,Supplier Lgi2g,47,"['0cKMX', 'SX9zU', 'tX4OM']","['trdiT', 'DvNfi', 'R03uw']","['TxQ8u', 'biLmu', 'd0YcG']","[51.38, 55.01, 192.8]","[520.38, 233.34, 471.09]",498,in stock,2025-01-04T06:32:17.120468,"['3MPJY', 'ijgQW', 'wWRas']",True,Clothing/Women,Blue,Red,S,BrandC,Unisex,https://picsum.photos/seed/lG5uK/600/600,https://picsum.photos/seed/auXpt/50/50,https://picsum.photos/seed/vt5R1/150/150,e52bf9e3-02cc-48de-8db5-d2a92e759f2a,used,"['wnRfC', 'U9B0n', 'GENZX']",premium,"['jfKcf', 'uRgSK', 'p0n7s']",dfaaea3a-c09c-478b-99d8-16b295e48655,159.72,165.92,158.59,32.98,2.016366,19.697448,1430412504412,"['IF6q0', 'oc543', 'hVbLr']",4.6
Product 8pj42,https://example.com/M1vIJc6f,Description bLJrZcTubvHCRcOXMHeI,140.82,178.32999999999998,21.03,37.50999999999999,58.76,USA,8 days,Supplier iVL34,9,"['KkGoz', 'Ky91w', 'h7t7R']","['4TCmV', 'iqgwp', 'O67R7']","['FBsdU', 'abX1X', 'tSSt1']","[97.69, 446.6, 355.11]","[1.49, 765.38, 310.57]",356,in stock,2025-09-02T06:32:17.120636,"['ihIOq', 'NTFV3', 'XuLEY']",True,Clothing/Men,Blue,Black,S,BrandD,Unisex,https://picsum.photos/seed/UZujr/600/600,https://picsum.photos/seed/36az7/50/50,https://picsum.photos/seed/NQWNM/150/150,4282adca-2d05-4510-9888-882e3c0ea4be,new,"['yoF6L', 'bLFmg', 'iwkvT']",premium,"['xHCtE', 'cZ6Be', 'Yuvsh']",64ee771b-1560-4f72-b001-6140356d2c1c,341.64,11.26,111.44,120.68,29.278337,6.073672,8142795524949,"['HKhDP', 'xJXrM', 'tOCBy']",0.3
Product 2qJ7s,https://example.com/y4QIbGwO,Description wZ78c3FMpbwRw70eWAUk,320.75,350.62,8.52,29.870000000000005,200.27,France,2 days,Supplier wsj9T,46,"['1ccKH', 'Nc63Z', 'XPbjI']","['Stpbg', 'yiu8g', 'ksB7T']","['rBtHS', '7OFUc', '1f0gK']","[729.11, 501.21, 252.59]","[948.46, 456.91, 35.76]",931,in stock,2025-05-26T06:32:17.120764,"['dJ8o5', 'eDIkP', 'cfnf2']",False,Clothing/Men,Yellow,Green,S,BrandC,Female,https://picsum.photos/seed/Xdf5c/600/600,https://picsum.photos/seed/a7IgU/50/50,https://picsum.photos/seed/XX4pw/150/150,d057417f-c84e-4db4-a02d-19f0a5ec1b33,refurbished,"['8vfyM', 'QMRhZ', 'CXWW7']",exclusive,"['lwj27', 'BdrPp', 'arC3D']",88d358e0-01cd-4dd2-8b02-ce11d90a2b43,402.15,39.43,157.08,179.18,-45.269611,-102.390558,7594882552425,"['KwFxQ', 'c6DBP', '1peds']",1.1
Product L68K0,https://example.com/3BzWZhyr,Description 3MEtHS6UOD6gEajZCcsP,272.97,353.19000000000005,22.71,80.22000000000003,67.63,Japan,9 days,Supplier QtSZq,26,"['ieoB8', 'eWBTP', 'erGFE']","['kpPPc', 'wASoo', 'r6E8k']","['Kf6Dx', '9x3Ke', 'kNGmx']","[480.08, 263.99, 922.01]","[121.47, 975.26, 777.07]",673,preorder,2025-04-02T06:32:17.120876,"['Gi8fs', 'LuMS0', 'UI2k1']",True,Electronics/Phones,Black,Yellow,M,BrandA,Male,https://picsum.photos/seed/q3nF2/600/600,https://picsum.photos/seed/PVIPH/50/50,https://picsum.photos/seed/1BsQH/150/150,eca80be9-5a99-47b8-ab5c-e67dca14a58d,refurbished,"['tCXrP', 'aQpHx', '6IBVv']",standard,"['2988Q', '0PAVq', 'AGOyK']",8c578fcc-04f4-45ff-aacd-a783b87fc53a,371.97,56.83,122.37,189.33,72.659818,152.380397,7375640444413,"['9PNRe', 'pA8ZL', 'dRnRT']",5.0
Product nsr05,https://example.com/taemAjCE,Description FYWlRYUvAragxo2BAqeD,410.85,433.46000000000004,5.22,22.610000000000014,169.35,France,8 days,Supplier yWYGR,29,"['KJ5XY', 'MUTwS', 'AOGUN']","['3EhGW', 'kynqM', '7SvIU']","['mmfkU', 'sYq2d', 'kY17S']","[263.9, 142.39, 898.64]","[70.14, 778.44, 691.96]",377,in stock,2024-10-26T06:32:17.120974,"['ND86J', 'PRQfr', 'Xs1Fw']",False,Home/Furniture,Yellow,Blue,M,BrandA,Unisex,https://picsum.photos/seed/vZPeV/600/600,https://picsum.photos/seed/B6gl6/50/50,https://picsum.photos/seed/9GCSS/150/150,672d5f32-f0f5-4da3-939d-9ce2293c2446,refurbished,"['r6EQ2', 'QZxH4', 'Q1K7R']",standard,"['cuM8O', 'VhqaJ', 'md8D9']",b871daab-b0e4-41bc-a179-2c90398bea5b,176.67,57.87,66.3,22.64,-34.282871,-104.910346,6981727926762,"['rjtb7', 'MiuhL', 'HUA37']",2.1
Product O2ON7,https://example.com/2iWCW6HL,Description rELFMYcLVXQGoirowpwn,493.82,494.02,0.04,0.19999999999998863,13.91,USA,4 days,Supplier 20xQB,20,"['Ufzeo', 'FLToI', 'egpV8']","['Y98ri', 'bNEln', 'a7qSN']","['r0rUB', 'CD7xx', 'TJIN4']","[442.83, 875.78, 521.96]","[157.36, 431.04, 75.58]",562,preorder,2024-12-06T06:32:17.121068,"['KNJuf', 'MDZw0', 'BEOCK']",False,Clothing/Men,Green,Green,M,BrandA,Unisex,https://picsum.photos/seed/c5euf/600/600,https://picsum.photos/seed/KXwvx/50/50,https://picsum.photos/seed/TIczx/150/150,48fe7698-56a1-4401-94a0-2a31aac3041f,new,"['GaCk7', 'bFxbz', 'POEKw']",premium,"['xmMFR', 'gW7cU', '3rH6j']",8002e4fe-609d-484a-8c77-92edff9d2683,96.88,4.49,175.61,131.18,-68.25337,-34.878696,5521870554452,"['bidPT', 'Uo4Qf', 'hhbAg']",4.8
Product iuNFa,https://example.com/kCzf49aS,Description HTYaWUphv3LshbFiQWV5,297.65,349.35999999999996,14.8,51.70999999999998,255.05,Germany,13 days,Supplier Vnr4A,34,"['0PoUz', 'vjS10', 'zJg5K']","['hVE0I', 'abdpW', 'GhBbk']","['5rBvT', 'dNuNH', '9ogqd']","[454.98, 989.34, 375.9]","[659.87, 528.05, 608.76]",489,in stock,2024-12-24T06:32:17.121187,"['EU4cD', 'dZU03', 'yYeVg']",True,Sports/Outdoor,Red,White,XL,BrandD,Female,https://picsum.photos/seed/IXPQj/600/600,https://picsum.photos/seed/DX2SF/50/50,https://picsum.photos/seed/eimsz/150/150,09ba5580-617b-46cc-aa60-59e427624ff3,refurbished,"['XurXI', 'WZbQI', 'CEyqd']",standard,"['KBLpc', '7W0Kf', 'W02Hi']",85fb6f94-6a66-4541-97c6-c2739cb8baab,141.49,86.5,37.1,55.26,21.07968,-161.52197,9078698693434,"['ADipA', 'W7aem', 'Q55py']",0.9
Product HNbPU,https://example.com/PIIMSEGw,Description x04dBCbjZuT5PF9FLSBz,112.24,203.93,44.96,91.69000000000001,95.79,Canada,3 days,Supplier nuYmp,5,"['ajmBw', 'je5DG', 'Dy9N7']","['NO5d3', 'TNhaP', '8KCEE']","['1b2Lq', 'gdyBl', 'PpMKh']","[292.66, 338.04, 455.53]","[229.74, 984.33, 377.51]",746,preorder,2024-11-19T06:32:17.121328,"['575uj', 'QL7tR', 'HS24A']",False,Home/Furniture,Red,Yellow,S,BrandB,Male,https://picsum.photos/seed/yg51c/600/600,https://picsum.photos/seed/NW2QS/50/50,https://picsum.photos/seed/jVYzj/150/150,43e2c8cb-ac6c-41d8-b4f0-22b53b3d5a0d,refurbished,"['zf0Ti', 'xTbfg', 'FL2vk']",standard,"['T3Yfu', 'SuWpa', '7FVLz']",ad246905-728a-4a79-b0bd-8a77b82ed03a,350.96,119.33,57.89,113.23,-76.021556,102.729292,5039399399638,"['I04zz', 'XZGDD', '3n1fx']",2.1
Product 0lTWt,https://example.com/wefsu0yd,Description 0SRPRofcGmOtSC4KmZFL,51.43,123.75999999999999,58.44,72.32999999999998,6.15,USA,7 days,Supplier 8VGgJ,21,"['Uu4sH', 'AFBg4', 'Dl3Gv']","['XqsMA', '2j5Kj', 'z9iwg']","['PHnhT', 'kLRNf', '1gBqH']","[962.69, 523.18, 502.83]","[210.34, 828.75, 282.97]",654,preorder,2025-03-24T06:32:17.121510,"['OIFqW', 'Jz0eQ', 'wlgCN']",True,Home/Furniture,Green,Blue,M,BrandC,Unisex,https://picsum.photos/seed/OS3ZM/600/600,https://picsum.photos/seed/1lcJl/50/50,https://picsum.photos/seed/oo77Y/150/150,336f6f58-3c86-4219-b984-5a079919a6f3,used,"['zP8np', 'ba8Zb', 'dicGq']",exclusive,"['aqYSq', 'JRalS', 'VKa04']",32b3b945-e9c0-4bfd-a41d-1ae4c551a390,121.48,15.85,28.72,147.87,-29.13428,15.223225,6291151825686,"['i38TW', 'dchPA', 'akqBP']",2.0
Product 2ZJ71,https://example.com/SlodVqij,Description I4IKtdwt17U1CGgDTSHD,218.27,259.04,15.74,40.77000000000001,32.13,USA,10 days,Supplier QoBC9,50,"['LoMHt', '4bkvc', 'vDhh0']","['yRjWn', 'iCF2l', 'JIvUS']","['slLZE', 'fUBqa', 'FKnWo']","[841.14, 205.22, 231.92]","[824.82, 498.2, 571.33]",481,preorder,2024-12-31T06:32:17.121694,"['265C7', 'rzp3K', '7nulO']",True,Clothing/Men,Green,White,L,BrandD,Male,https://picsum.photos/seed/1PMmN/600/600,https://picsum.photos/seed/1z9vE/50/50,https://picsum.photos/seed/RD0hB/150/150,8f12da49-7803-4732-b430-a8776cc62b2b,refurbished,"['ERhCc', 'cs5bR', 'W78NW']",standard,"['n1YQs', 'wckLc', 'LWjnb']",7ffe0dc6-476d-4924-98f6-8185658890e3,285.93,49.95,112.96,168.38,-74.948323,50.726938,6044190891022,"['8192V', 'T6gMQ', '6gPcq']",4.0
